c,h,l,o,t,v,y,m,d,w,wd,last,change,pchange,symbol
5.8,6.2,5.7,6.2,7/16/2007,139564000,2007,7,16,29,0,5.8,0,0,AP
5.5,5.7,5.5,5.7,7/17/2007,116151000,2007,7,17,29,1,5.8,-0.3,-0.051724138,AP
5.6,5.8,5.5,5.6,7/18/2007,38920000,2007,7,18,29,2,5.5,0.1,0.018181818,AP
5.5,5.7,5.5,5.6,7/19/2007,10521000,2007,7,19,29,3,5.6,-0.1,-0.017857143,AP
5.5,5.6,5.5,5.5,7/23/2007,4516000,2007,7,23,30,0,5.5,0,0,AP
5.5,5.6,5.5,5.6,7/25/2007,12963000,2007,7,25,30,2,5.5,0,0,AP
5.5,5.6,5.5,5.5,7/26/2007,28376000,2007,7,26,30,3,5.5,0,0,AP
5.3,5.4,5.3,5.4,7/27/2007,29543000,2007,7,27,30,4,5.5,-0.2,-0.036363636,AP
5.1,5.3,5.1,5.3,7/30/2007,48217000,2007,7,30,31,0,5.3,-0.2,-0.037735849,AP
5.1,5.3,5.1,5.2,7/31/2007,5427000,2007,7,31,31,1,5.1,0,0,AP
5,5.1,4.9,5.1,8/1/2007,41022000,2007,8,1,31,2,5.1,-0.1,-0.019607843,AP
4.8,5,4.6,5,8/2/2007,8217000,2007,8,2,31,3,5,-0.2,-0.04,AP
4.6,4.8,4.5,4.8,8/3/2007,9910000,2007,8,3,31,4,4.8,-0.2,-0.041666667,AP
4.3,4.4,4.2,4.4,8/6/2007,15347000,2007,8,6,32,0,4.6,-0.3,-0.065217391,AP
4.75,4.85,4.35,4.35,8/7/2007,7431000,2007,8,7,32,1,4.3,0.45,0.104651163,AP
4.8,4.85,4.55,4.6,8/8/2007,20629000,2007,8,8,32,2,4.75,0.05,0.010526316,AP
5,5.1,4.85,4.85,8/9/2007,6841000,2007,8,9,32,3,4.8,0.2,0.041666667,AP
4.85,4.9,4.65,4.7,8/10/2007,7924000,2007,8,10,32,4,5,-0.15,-0.03,AP
4.35,4.85,4.35,4.85,8/15/2007,26975000,2007,8,15,33,2,4.85,-0.5,-0.103092784,AP
3.9,4.3,3.8,4.3,8/16/2007,38912000,2007,8,16,33,3,4.35,-0.45,-0.103448276,AP
4,4.35,3.95,4,8/17/2007,27263000,2007,8,17,33,4,3.9,0.1,0.025641026,AP
4.45,4.5,4.3,4.3,8/21/2007,15151000,2007,8,21,34,1,4,0.45,0.1125,AP
4.55,4.55,4.35,4.45,8/22/2007,3937000,2007,8,22,34,2,4.45,0.1,0.02247191,AP
4.95,5.1,4.7,4.7,8/23/2007,15571000,2007,8,23,34,3,4.55,0.4,0.087912088,AP
4.85,4.9,4.75,4.9,8/24/2007,18429000,2007,8,24,34,4,4.95,-0.1,-0.02020202,AP
4.95,4.95,4.9,4.9,8/28/2007,3006000,2007,8,28,35,1,4.85,0.1,0.020618557,AP
4.75,4.8,4.6,4.75,8/29/2007,10125000,2007,8,29,35,2,4.95,-0.2,-0.04040404,AP
5.2,5.2,4.8,4.8,8/30/2007,17256000,2007,8,30,35,3,4.75,0.45,0.094736842,AP
5.4,5.4,5.1,5.1,8/31/2007,7458000,2007,8,31,35,4,5.2,0.2,0.038461538,AP
5.2,5.4,5.1,5.4,9/3/2007,4863000,2007,9,3,36,0,5.4,-0.2,-0.037037037,AP
5.1,5.3,5.1,5.2,9/4/2007,7662000,2007,9,4,36,1,5.2,-0.1,-0.019230769,AP
5.3,5.4,5.1,5.1,9/5/2007,41085000,2007,9,5,36,2,5.1,0.2,0.039215686,AP
5.3,5.3,5.2,5.2,9/6/2007,11993000,2007,9,6,36,3,5.3,0,0,AP
5.2,5.3,5.1,5.3,9/7/2007,966000,2007,9,7,36,4,5.3,-0.1,-0.018867925,AP
5,5.1,4.9,5.1,9/10/2007,5198000,2007,9,10,37,0,5.2,-0.2,-0.038461538,AP
5,5.1,4.95,4.95,9/11/2007,1580000,2007,9,11,37,1,5,0,0,AP
5.1,5.2,5.1,5.1,9/12/2007,2101000,2007,9,12,37,2,5,0.1,0.02,AP
5.1,5.1,5.1,5.1,9/13/2007,716000,2007,9,13,37,3,5.1,0,0,AP
5.1,5.1,5,5.1,9/14/2007,593000,2007,9,14,37,4,5.1,0,0,AP
5.1,5.1,5.1,5.1,9/17/2007,390000,2007,9,17,38,0,5.1,0,0,AP
4.95,5.1,4.9,5.1,9/18/2007,1706000,2007,9,18,38,1,5.1,-0.15,-0.029411765,AP
5.1,5.1,5.1,5.1,9/19/2007,2338000,2007,9,19,38,2,4.95,0.15,0.03030303,AP
5.1,5.1,5,5,9/20/2007,4236000,2007,9,20,38,3,5.1,0,0,AP
5,5.1,5,5,9/21/2007,4279000,2007,9,21,38,4,5.1,-0.1,-0.019607843,AP
5,5,4.95,5,9/24/2007,663000,2007,9,24,39,0,5,0,0,AP
5.1,5.1,5,5,9/25/2007,1172000,2007,9,25,39,1,5,0.1,0.02,AP
5.1,5.1,5,5.1,9/26/2007,1038000,2007,9,26,39,2,5.1,0,0,AP
5.3,5.3,5.1,5.1,9/27/2007,2831000,2007,9,27,39,3,5.1,0.2,0.039215686,AP
5.4,5.4,5.2,5.3,9/28/2007,3590000,2007,9,28,39,4,5.3,0.1,0.018867925,AP
5.3,5.3,5.2,5.3,10/1/2007,821000,2007,10,1,40,0,5.4,-0.1,-0.018518519,AP
5.6,5.7,5.3,5.3,10/2/2007,14714000,2007,10,2,40,1,5.3,0.3,0.056603774,AP
5.8,5.8,5.6,5.6,10/3/2007,7958000,2007,10,3,40,2,5.6,0.2,0.035714286,AP
5.6,5.7,5.6,5.7,10/4/2007,7238000,2007,10,4,40,3,5.8,-0.2,-0.034482759,AP
5.4,5.6,5.4,5.6,10/5/2007,4037000,2007,10,5,40,4,5.6,-0.2,-0.035714286,AP
5.5,5.7,5.4,5.4,10/8/2007,3966000,2007,10,8,41,0,5.4,0.1,0.018518519,AP
5.5,5.6,5.5,5.5,10/9/2007,5972000,2007,10,9,41,1,5.5,0,0,AP
5.6,5.6,5.5,5.5,10/10/2007,6710000,2007,10,10,41,2,5.5,0.1,0.018181818,AP
5.5,5.6,5.5,5.6,10/11/2007,7330000,2007,10,11,41,3,5.6,-0.1,-0.017857143,AP
5.6,5.6,5.5,5.6,10/15/2007,2135000,2007,10,15,42,0,5.5,0.1,0.018181818,AP
5.6,5.6,5.5,5.5,10/16/2007,3866000,2007,10,16,42,1,5.6,0,0,AP
