c,h,l,o,t,v,y,m,d,w,wd,last,change,pchange,symbol
0.1904,0.1904,0.1904,0.1904,9/1/1988,140712.957,1988,9,1,35,3,0.1904,0,0,CHIB
0.1894,0.1894,0.1894,0.1894,9/7/1988,2104039.476,1988,9,7,36,2,0.1904,-0.001,-0.005252101,CHIB
0.1894,0.1894,0.1894,0.1894,9/16/1988,33507.6588,1988,9,16,37,4,0.1894,0,0,CHIB
0.2033,0.2033,0.2033,0.2033,12/8/1988,3517892.532,1988,12,8,49,3,0.1894,0.0139,0.073389652,CHIB
0.2033,0.2033,0.2033,0.2033,12/19/1988,67001.5962,1988,12,19,51,0,0.2033,0,0,CHIB
0.2085,0.2085,0.2085,0.2085,12/23/1988,810797.526,1988,12,23,51,4,0.2033,0.0052,0.025577964,CHIB
0.2318,0.2318,0.2318,0.2318,4/3/1989,1175978.866,1989,4,3,14,0,0.2085,0.0233,0.1117506,CHIB
0.2318,0.2318,0.2318,0.2318,4/4/1989,388644.9336,1989,4,4,14,1,0.2318,0,0,CHIB
0.2318,0.2318,0.2318,0.2318,4/6/1989,170872.5942,1989,4,6,14,3,0.2318,0,0,CHIB
0.2395,0.2395,0.2395,0.2395,4/12/1989,67001.5962,1989,4,12,15,2,0.2318,0.0077,0.033218292,CHIB
0.2395,0.2395,0.2395,0.2395,4/18/1989,807435.783,1989,4,18,16,1,0.2395,0,0,CHIB
0.2395,0.2395,0.2395,0.2395,4/19/1989,73711.3608,1989,4,19,16,2,0.2395,0,0,CHIB
0.242,0.242,0.242,0.242,4/21/1989,83755.4256,1989,4,21,16,4,0.2395,0.0025,0.010438413,CHIB
0.242,0.242,0.242,0.242,4/25/1989,1822599.841,1989,4,25,17,1,0.242,0,0,CHIB
0.242,0.242,0.242,0.242,4/28/1989,268033.8276,1989,4,28,17,4,0.242,0,0,CHIB
0.2473,0.2473,0.2473,0.2473,5/12/1989,1092223.44,1989,5,12,19,4,0.242,0.0053,0.021900826,CHIB
