c,h,l,o,t,v,y,m,d,w,wd,last,change,pchange,symbol
133,133.5,128,132,10/26/2010,25915530,2010,10,26,43,1,133,0,0,CEB
131,132.3,129.5,132,10/27/2010,6935780,2010,10,27,43,2,133,-2,-0.015037594,CEB
125.1,131,125,131,10/28/2010,4317190,2010,10,28,43,3,131,-5.9,-0.045038168,CEB
124.5,125.4,124.1,125.4,10/29/2010,4807270,2010,10,29,43,4,125.1,-0.6,-0.004796163,CEB
124,124.5,123.5,124.5,11/2/2010,3709150,2010,11,2,44,1,124.5,-0.5,-0.004016064,CEB
119.8,124.1,116,124.1,11/3/2010,6999150,2010,11,3,44,2,124,-4.2,-0.033870968,CEB
122.4,123,119.8,119.8,11/4/2010,2053840,2010,11,4,44,3,119.8,2.6,0.021702838,CEB
121.8,123,121.7,123,11/5/2010,2435220,2010,11,5,44,4,122.4,-0.6,-0.004901961,CEB
117,121.8,116.9,121.8,11/8/2010,3185300,2010,11,8,45,0,121.8,-4.8,-0.039408867,CEB
124.5,124.5,117,117,11/9/2010,2563480,2010,11,9,45,1,117,7.5,0.064102564,CEB
125.1,125.5,122.4,122.4,11/10/2010,3178570,2010,11,10,45,2,124.5,0.6,0.004819277,CEB
126,127.2,124.5,124.5,11/11/2010,2296270,2010,11,11,45,3,125.1,0.9,0.007194245,CEB
125.6,126.5,124.4,126,11/12/2010,1388250,2010,11,12,45,4,126,-0.4,-0.003174603,CEB
124,125.6,123.5,125.3,11/15/2010,3258830,2010,11,15,46,0,125.6,-1.6,-0.012738854,CEB
120.1,123.8,119,123.8,11/17/2010,2069040,2010,11,17,46,2,124,-3.9,-0.031451613,CEB
125.5,126,120.3,120.3,11/18/2010,1700400,2010,11,18,46,3,120.1,5.4,0.044962531,CEB
129,129.4,125.9,125.9,11/19/2010,2329510,2010,11,19,46,4,125.5,3.5,0.027888446,CEB
127.3,129,126.7,129,11/22/2010,2350910,2010,11,22,47,0,129,-1.7,-0.013178295,CEB
127.3,127.6,126.5,127.3,11/23/2010,1509570,2010,11,23,47,1,127.3,0,0,CEB
125.5,126.6,125.5,126.5,11/24/2010,1847340,2010,11,24,47,2,127.3,-1.8,-0.014139827,CEB
125,126,125,125.5,11/25/2010,2115120,2010,11,25,47,3,125.5,-0.5,-0.003984064,CEB
125,125.5,125,125,11/26/2010,1291980,2010,11,26,47,4,125,0,0,CEB
125.5,125.5,125,125,11/30/2010,988640,2010,11,30,48,1,125,0.5,0.004,CEB
125.5,125.5,125,125,12/1/2010,299250,2010,12,1,48,2,125.5,0,0,CEB
126.1,126.5,125.8,126,12/2/2010,316640,2010,12,2,48,3,125.5,0.6,0.004780876,CEB
127,127,125.9,126,12/3/2010,409390,2010,12,3,48,4,126.1,0.9,0.007137193,CEB
126,127,126,127,12/6/2010,1006210,2010,12,6,49,0,127,-1,-0.007874016,CEB
125,125.6,125,125.5,12/7/2010,712680,2010,12,7,49,1,126,-1,-0.007936508,CEB
124.7,125.1,124.6,125,12/8/2010,2208170,2010,12,8,49,2,125,-0.3,-0.0024,CEB
119.5,124.9,118,124.9,12/9/2010,1058370,2010,12,9,49,3,124.7,-5.2,-0.04170008,CEB
117.5,120,117.5,120,12/10/2010,2633110,2010,12,10,49,4,119.5,-2,-0.016736402,CEB
116.7,118.5,116.7,118.5,12/13/2010,686200,2010,12,13,50,0,117.5,-0.8,-0.006808511,CEB
116.5,116.6,116.2,116.6,12/14/2010,915760,2010,12,14,50,1,116.7,-0.2,-0.001713796,CEB
113.4,116,113.2,116,12/15/2010,2127250,2010,12,15,50,2,116.5,-3.1,-0.026609442,CEB
110,114,109.5,114,12/16/2010,2217970,2010,12,16,50,3,113.4,-3.4,-0.029982363,CEB
106,110,82,109.9,12/17/2010,3138020,2010,12,17,50,4,110,-4,-0.036363636,CEB
106.2,107.8,105,106,12/20/2010,3326770,2010,12,20,51,0,106,0.2,0.001886792,CEB
106.3,106.3,105.9,106,12/21/2010,1109650,2010,12,21,51,1,106.2,0.1,0.00094162,CEB
106.6,107,106.3,106.3,12/22/2010,827810,2010,12,22,51,2,106.3,0.3,0.002822201,CEB
112,112,106.2,107,12/23/2010,849170,2010,12,23,51,3,106.6,5.4,0.05065666,CEB
111,111,109,109.9,12/28/2010,877030,2010,12,28,52,1,112,-1,-0.008928571,CEB
110.5,111,110,111,12/29/2010,749480,2010,12,29,52,2,111,-0.5,-0.004504505,CEB
113.4,113.4,110.1,110.5,12/30/2010,725730,2010,12,30,52,3,110.5,2.9,0.026244344,CEB
114,114,113,114,1/3/2011,829310,2011,1,3,1,0,113.4,0.6,0.005291005,CEB
111,113.8,110,113.8,1/4/2011,882990,2011,1,4,1,1,114,-3,-0.026315789,CEB
106.9,110.9,106.9,110.9,1/5/2011,1449120,2011,1,5,1,2,111,-4.1,-0.036936937,CEB
105.6,108,105.5,108,1/6/2011,1156560,2011,1,6,1,3,106.9,-1.3,-0.012160898,CEB
104.9,106.8,104.8,106,1/7/2011,548690,2011,1,7,1,4,105.6,-0.7,-0.006628788,CEB
102,105,99.8,105,1/10/2011,1695820,2011,1,10,2,0,104.9,-2.9,-0.027645377,CEB
100.3,104,100.3,104,1/11/2011,874870,2011,1,11,2,1,102,-1.7,-0.016666667,CEB
101.5,101.9,100.2,100.2,1/12/2011,1801890,2011,1,12,2,2,100.3,1.2,0.011964108,CEB
100.8,102,100.5,102,1/13/2011,2375550,2011,1,13,2,3,101.5,-0.7,-0.006896552,CEB
99.65,101,99.3,100.8,1/14/2011,1101440,2011,1,14,2,4,100.8,-1.15,-0.01140873,CEB
98.95,99.5,98.7,99.5,1/17/2011,1933790,2011,1,17,3,0,99.65,-0.7,-0.007024586,CEB
93,98,92.8,98,1/18/2011,1413850,2011,1,18,3,1,98.95,-5.95,-0.060131379,CEB
90.2,93,86,93,1/19/2011,3259050,2011,1,19,3,2,93,-2.8,-0.030107527,CEB
91.6,91.9,89.7,90.2,1/20/2011,2348430,2011,1,20,3,3,90.2,1.4,0.015521064,CEB
94.6,94.75,91.6,92,1/21/2011,2009570,2011,1,21,3,4,91.6,3,0.032751092,CEB
92.9,94.7,90.5,94.7,1/24/2011,1328100,2011,1,24,4,0,94.6,-1.7,-0.017970402,CEB
93,94.2,92.9,94,1/25/2011,3201500,2011,1,25,4,1,92.9,0.1,0.001076426,CEB
94.7,94.8,93.5,93.6,1/26/2011,1213600,2011,1,26,4,2,93,1.7,0.01827957,CEB
99.2,99.5,94.8,94.8,1/27/2011,2147650,2011,1,27,4,3,94.7,4.5,0.047518479,CEB
99.2,100,98.7,99.2,1/28/2011,1379540,2011,1,28,4,4,99.2,0,0,CEB
98,98.55,97,98.55,1/31/2011,597460,2011,1,31,5,0,99.2,-1.2,-0.012096774,CEB
97,98.95,96.5,98,2/1/2011,554370,2011,2,1,5,1,98,-1,-0.010204082,CEB
97,97.2,96,97,2/2/2011,748890,2011,2,2,5,2,97,0,0,CEB
