c,h,l,o,t,v,y,m,d,w,wd,last,change,pchange,symbol
9.7122,9.7122,9.7122,9.7122,6/9/1986,29601,1986,6,9,24,0,9.7122,0,0,MBT
9.7122,9.7122,9.7122,9.7122,6/10/1986,11840,1986,6,10,24,1,9.7122,0,0,MBT
9.7122,9.7122,9.7122,9.7122,6/16/1986,18353,1986,6,16,25,0,9.7122,0,0,MBT
9.7122,9.7122,9.7122,9.7122,6/17/1986,14208,1986,6,17,25,1,9.7122,0,0,MBT
9.7122,9.7122,9.7122,9.7122,6/18/1986,5920,1986,6,18,25,2,9.7122,0,0,MBT
9.7257,9.7257,9.7257,9.7257,6/19/1986,32206,1986,6,19,25,3,9.7122,0.0135,0.001390004,MBT
9.7203,9.7257,9.7203,9.7257,6/20/1986,46888,1986,6,20,25,4,9.7257,-0.0054,-0.00055523,MBT
9.7257,9.7257,9.7257,9.7257,6/23/1986,31259,1986,6,23,26,0,9.7203,0.0054,0.000555538,MBT
9.7257,9.7257,9.7257,9.7257,6/24/1986,5447,1986,6,24,26,1,9.7257,0,0,MBT
9.6988,9.6988,9.6988,9.6988,6/30/1986,2368,1986,6,30,27,0,9.7257,-0.0269,-0.002765868,MBT
9.6852,9.6852,9.6852,9.6852,7/1/1986,14208,1986,7,1,27,1,9.6988,-0.0136,-0.001402235,MBT
9.6988,9.6988,9.6988,9.6988,7/8/1986,1184,1986,7,8,28,1,9.6852,0.0136,0.001404204,MBT
9.7122,9.7257,9.7122,9.7257,7/23/1986,13498,1986,7,23,30,2,9.6988,0.0134,0.001381614,MBT
9.6988,9.6988,9.6988,9.6988,7/28/1986,1421,1986,7,28,31,0,9.7122,-0.0134,-0.001379708,MBT
9.6988,9.6988,9.6988,9.6988,7/29/1986,2368,1986,7,29,31,1,9.6988,0,0,MBT
9.6718,9.6988,9.6718,9.6988,8/4/1986,9472,1986,8,4,32,0,9.6988,-0.027,-0.00278385,MBT
9.6852,9.6852,9.6852,9.6852,8/13/1986,1184,1986,8,13,33,2,9.6718,0.0134,0.001385471,MBT
9.6583,9.6718,9.6583,9.6718,8/15/1986,3315,1986,8,15,33,4,9.6852,-0.0269,-0.002777434,MBT
9.7257,9.7257,9.7122,9.7122,9/10/1986,2368,1986,9,10,37,2,9.6583,0.0674,0.006978454,MBT
9.7338,9.7338,9.7257,9.7257,9/11/1986,2960,1986,9,11,37,3,9.7257,0.0081,0.000832845,MBT
9.7392,9.7392,9.7392,9.7392,9/12/1986,3552,1986,9,12,37,4,9.7338,0.0054,0.000554768,MBT
9.7527,9.7527,9.7527,9.7527,10/1/1986,32443,1986,10,1,40,2,9.7392,0.0135,0.001386151,MBT
9.7527,9.7527,9.7527,9.7527,10/2/1986,5565,1986,10,2,40,3,9.7527,0,0,MBT
9.7554,9.7662,9.7554,9.7662,10/3/1986,54821,1986,10,3,40,4,9.7527,0.0027,0.000276846,MBT
9.7554,9.7662,9.7554,9.7662,10/8/1986,28417,1986,10,8,41,2,9.7554,0,0,MBT
9.7688,9.7688,9.7688,9.7688,10/16/1986,9591,1986,10,16,42,3,9.7554,0.0134,0.001373598,MBT
9.7662,9.7662,9.7662,9.7662,10/17/1986,15393,1986,10,17,42,4,9.7688,-0.0026,-0.000266153,MBT
9.7662,9.7662,9.7662,9.7662,10/20/1986,592,1986,10,20,43,0,9.7662,0,0,MBT
9.7527,9.7527,9.7527,9.7527,10/21/1986,4263,1986,10,21,43,1,9.7662,-0.0135,-0.001382319,MBT
9.7527,9.7527,9.7527,9.7527,10/22/1986,592,1986,10,22,43,2,9.7527,0,0,MBT
9.7472,9.7472,9.7472,9.7472,10/30/1986,3315,1986,10,30,44,3,9.7527,-0.0055,-0.000563946,MBT
9.7796,9.7796,9.7796,9.7796,12/2/1986,11840,1986,12,2,49,1,9.7472,0.0324,0.003324032,MBT
9.7203,9.7203,9.7203,9.7203,1/20/1987,5920,1987,1,20,4,1,9.7796,-0.0593,-0.006063643,MBT
9.7203,9.7203,9.7149,9.7149,2/5/1987,29127,1987,2,5,6,3,9.7203,0,0,MBT
9.7257,9.7257,9.7257,9.7257,2/6/1987,1184,1987,2,6,6,4,9.7203,0.0054,0.000555538,MBT
9.7257,9.7257,9.7257,9.7257,2/9/1987,4736,1987,2,9,7,0,9.7257,0,0,MBT
9.7257,9.7257,9.7257,9.7257,3/23/1987,9472,1987,3,23,13,0,9.7257,0,0,MBT
9.7796,9.7796,9.7796,9.7796,4/27/1987,28535,1987,4,27,18,0,9.7257,0.0539,0.005542018,MBT
9.7527,9.7527,9.7527,9.7527,7/9/1987,5920,1987,7,9,28,3,9.7796,-0.0269,-0.002750624,MBT
9.7257,9.7527,9.7257,9.7527,7/14/1987,30903,1987,7,14,29,1,9.7527,-0.027,-0.002768464,MBT
9.7527,9.7527,9.7527,9.7527,7/16/1987,33627,1987,7,16,29,3,9.7257,0.027,0.00277615,MBT
9.7527,9.7527,9.7527,9.7527,7/20/1987,1184,1987,7,20,30,0,9.7527,0,0,MBT
9.7527,9.7527,9.7527,9.7527,7/21/1987,4736,1987,7,21,30,1,9.7527,0,0,MBT
9.7527,9.7527,9.7527,9.7527,7/30/1987,11840,1987,7,30,31,3,9.7527,0,0,MBT
9.7527,9.7527,9.7527,9.7527,8/3/1987,9472,1987,8,3,32,0,9.7527,0,0,MBT
9.7527,9.7527,9.7527,9.7527,8/4/1987,3907,1987,8,4,32,1,9.7527,0,0,MBT
9.7527,9.7527,9.7527,9.7527,8/5/1987,12551,1987,8,5,32,2,9.7527,0,0,MBT
9.7527,9.7527,9.7527,9.7527,8/14/1987,4381,1987,8,14,33,4,9.7527,0,0,MBT
9.7527,9.7527,9.7527,9.7527,9/2/1987,18945,1987,9,2,36,2,9.7527,0,0,MBT
9.7392,9.7392,9.7392,9.7392,10/28/1987,2368,1987,10,28,44,2,9.7527,-0.0135,-0.001384232,MBT
9.7392,9.7392,9.7392,9.7392,10/30/1987,3552,1987,10,30,44,4,9.7392,0,0,MBT
9.7257,9.7257,9.7257,9.7257,11/6/1987,4144,1987,11,6,45,4,9.7392,-0.0135,-0.001386151,MBT
9.7257,9.7257,9.7257,9.7257,11/9/1987,1184,1987,11,9,46,0,9.7257,0,0,MBT
9.6988,9.6988,9.6988,9.6988,11/16/1987,1894,1987,11,16,47,0,9.7257,-0.0269,-0.002765868,MBT
9.6988,9.6988,9.6988,9.6988,11/26/1987,6512,1987,11,26,48,3,9.6988,0,0,MBT
9.6988,9.6988,9.6988,9.6988,12/21/1987,23681,1987,12,21,52,0,9.6988,0,0,MBT
9.6448,9.6583,9.6448,9.6583,2/9/1988,66306,1988,2,9,6,1,9.6988,-0.054,-0.005567699,MBT
9.7015,9.7015,9.6988,9.6988,2/11/1988,12077,1988,2,11,6,3,9.6448,0.0567,0.005878816,MBT
9.7068,9.7068,9.7042,9.7042,2/12/1988,2486,1988,2,12,6,4,9.7015,0.0053,0.000546307,MBT
9.6988,9.7122,9.6988,9.7122,2/15/1988,30785,1988,2,15,7,0,9.7068,-0.008,-0.000824165,MBT
9.7257,9.7257,9.7257,9.7257,3/2/1988,47362,1988,3,2,9,2,9.6988,0.0269,0.002773539,MBT
9.9097,9.9097,9.9097,9.9097,3/16/1988,118,1988,3,16,11,2,9.7257,0.184,0.018918947,MBT
9.7864,9.7864,9.7864,9.7864,4/19/1988,11840,1988,4,19,16,1,9.9097,-0.1233,-0.012442354,MBT
9.7864,9.7864,9.7864,9.7864,4/28/1988,4736,1988,4,28,17,3,9.7864,0,0,MBT
9.8686,9.8686,9.8275,9.8275,5/25/1988,237,1988,5,25,21,2,9.7864,0.0822,0.008399411,MBT
9.8069,9.8069,9.8069,9.8069,6/9/1988,2250,1988,6,9,23,3,9.8686,-0.0617,-0.006252153,MBT
9.9097,9.9097,9.9097,9.9097,6/22/1988,3789,1988,6,22,25,2,9.8069,0.1028,0.010482415,MBT
9.9302,9.9302,9.9302,9.9302,7/7/1988,1598,1988,7,7,27,3,9.9097,0.0205,0.00206868,MBT
9.9097,9.9097,9.9097,9.9097,8/1/1988,12432,1988,8,1,31,0,9.9302,-0.0205,-0.00206441,MBT
9.9302,9.9508,9.9302,9.9508,8/4/1988,11012,1988,8,4,31,3,9.9097,0.0205,0.00206868,MBT
9.9508,9.9508,9.9508,9.9508,8/18/1988,11840,1988,8,18,33,3,9.9302,0.0206,0.00207448,MBT
9.8686,9.8686,9.8686,9.8686,9/1/1988,9472,1988,9,1,35,3,9.9508,-0.0822,-0.008260642,MBT
9.8686,9.8686,9.8686,9.8686,9/2/1988,5683,1988,9,2,35,4,9.8686,0,0,MBT
9.7864,9.7864,9.7864,9.7864,9/21/1988,3552,1988,9,21,38,2,9.8686,-0.0822,-0.008329449,MBT
9.7864,9.7864,9.7864,9.7864,10/7/1988,2368,1988,10,7,40,4,9.7864,0,0,MBT
9.8275,9.8275,9.8275,9.8275,10/10/1988,6275,1988,10,10,41,0,9.7864,0.0411,0.004199706,MBT
9.8275,9.8275,9.8275,9.8275,10/13/1988,4736,1988,10,13,41,3,9.8275,0,0,MBT
9.8275,9.8275,9.8275,9.8275,11/15/1988,7104,1988,11,15,46,1,9.8275,0,0,MBT
9.9302,9.9302,9.9302,9.9302,11/18/1988,10656,1988,11,18,46,4,9.8275,0.1027,0.010450267,MBT
9.9714,9.9714,9.9508,9.9508,11/21/1988,47125,1988,11,21,47,0,9.9302,0.0412,0.00414896,MBT
9.9919,9.9919,9.9919,9.9919,1/5/1989,2960,1989,1,5,1,3,9.9714,0.0205,0.00205588,MBT
9.9508,9.9508,9.9097,9.9097,1/13/1989,39429,1989,1,13,2,4,9.9919,-0.0411,-0.004113332,MBT
9.9508,9.9508,9.9508,9.9508,1/31/1989,7223,1989,1,31,5,1,9.9508,0,0,MBT
9.9097,9.9097,9.9097,9.9097,2/6/1989,8762,1989,2,6,6,0,9.9508,-0.0411,-0.004130321,MBT
9.9714,9.9714,9.9714,9.9714,2/24/1989,11840,1989,2,24,8,4,9.9097,0.0617,0.006226223,MBT
9.9714,9.9714,9.9714,9.9714,2/27/1989,2723,1989,2,27,9,0,9.9714,0,0,MBT
9.9919,9.9919,9.9919,9.9919,3/9/1989,2368,1989,3,9,10,3,9.9714,0.0205,0.00205588,MBT
10.0331,10.0331,10.0331,10.0331,3/30/1989,8643,1989,3,30,13,3,9.9919,0.0412,0.00412334,MBT
10.0536,10.0536,10.0536,10.0536,3/31/1989,14445,1989,3,31,13,4,10.0331,0.0205,0.002043237,MBT
10.0742,10.0742,10.0742,10.0742,4/10/1989,1184,1989,4,10,15,0,10.0536,0.0206,0.002049017,MBT
10.0331,10.0331,10.0331,10.0331,4/14/1989,29009,1989,4,14,15,4,10.0742,-0.0411,-0.004079728,MBT
10.0858,10.0858,10.0858,10.0858,5/9/1989,72700,1989,5,9,19,1,10.0331,0.0527,0.005252614,MBT
10.1569,10.1569,10.1569,10.1569,5/11/1989,2368,1989,5,11,19,3,10.0858,0.0711,0.007049515,MBT
10.228,10.228,10.228,10.228,6/9/1989,8288,1989,6,9,23,4,10.1569,0.0711,0.007000167,MBT
10.228,10.228,10.228,10.228,6/14/1989,11840,1989,6,14,24,2,10.228,0,0,MBT
10.1806,10.1806,10.0858,10.0858,6/15/1989,48190,1989,6,15,24,3,10.228,-0.0474,-0.004634337,MBT
10.2754,10.2754,10.2754,10.2754,6/16/1989,7223,1989,6,16,24,4,10.1806,0.0948,0.009311828,MBT
10.1806,10.1806,10.1806,10.1806,6/20/1989,2368,1989,6,20,25,1,10.2754,-0.0948,-0.009225918,MBT
10.3228,10.3228,10.3228,10.3228,6/29/1989,7223,1989,6,29,26,3,10.1806,0.1422,0.013967743,MBT
10.3228,10.3228,10.3228,10.3228,6/30/1989,23681,1989,6,30,26,4,10.3228,0,0,MBT
10.2991,10.2991,10.2991,10.2991,7/17/1989,8407,1989,7,17,29,0,10.3228,-0.0237,-0.002295889,MBT
10.3228,10.3228,10.3228,10.3228,7/20/1989,11840,1989,7,20,29,3,10.2991,0.0237,0.002301172,MBT
10.3228,10.3228,10.3228,10.3228,7/21/1989,16458,1989,7,21,29,4,10.3228,0,0,MBT
10.3465,10.3465,10.3465,10.3465,8/4/1989,4736,1989,8,4,31,4,10.3228,0.0237,0.002295889,MBT
10.4175,10.4175,10.4175,10.4175,8/7/1989,9472,1989,8,7,32,0,10.3465,0.071,0.006862224,MBT
10.3228,10.3228,10.3228,10.3228,8/8/1989,12788,1989,8,8,32,1,10.4175,-0.0947,-0.009090473,MBT
10.4175,10.4175,10.4175,10.4175,8/9/1989,1776,1989,8,9,32,2,10.3228,0.0947,0.009173868,MBT
10.228,10.228,10.228,10.228,8/18/1989,27825,1989,8,18,33,4,10.4175,-0.1895,-0.018190545,MBT
10.5596,10.5596,10.5596,10.5596,9/15/1989,10656,1989,9,15,37,4,10.228,0.3316,0.032420806,MBT
10.6544,10.6544,10.6544,10.6544,9/18/1989,4026,1989,9,18,38,0,10.5596,0.0948,0.008977613,MBT
10.7018,10.7018,10.7018,10.7018,9/22/1989,1184,1989,9,22,38,4,10.6544,0.0474,0.004448866,MBT
10.8438,10.8438,10.8438,10.8438,9/26/1989,1184,1989,9,26,39,1,10.7018,0.142,0.013268796,MBT
10.9149,10.9149,10.8438,10.8438,9/27/1989,15985,1989,9,27,39,2,10.8438,0.0711,0.006556742,MBT
10.8912,10.8912,10.8912,10.8912,9/28/1989,1125,1989,9,28,39,3,10.9149,-0.0237,-0.002171344,MBT
11.0334,11.0334,10.986,10.986,9/29/1989,13024,1989,9,29,39,4,10.8912,0.1422,0.013056413,MBT
11.3887,11.3887,11.3887,11.3887,10/10/1989,1184,1989,10,10,41,1,11.0334,0.3553,0.032202222,MBT
11.3295,11.3295,11.3295,11.3295,10/12/1989,5920,1989,10,12,41,3,11.3887,-0.0592,-0.005198135,MBT
11.4479,11.4479,11.2111,11.2111,10/13/1989,5387,1989,10,13,41,4,11.3295,0.1184,0.010450594,MBT
11.2703,11.2703,11.2703,11.2703,10/19/1989,1184,1989,10,19,42,3,11.4479,-0.1776,-0.015513762,MBT
11.1518,11.1518,11.1518,11.1518,10/20/1989,14800,1989,10,20,42,4,11.2703,-0.1185,-0.010514361,MBT
11.2111,11.2111,11.2111,11.2111,10/24/1989,5920,1989,10,24,43,1,11.1518,0.0593,0.005317527,MBT
11.2407,11.2407,11.2407,11.2407,10/25/1989,8880,1989,10,25,43,2,11.2111,0.0296,0.00264024,MBT
11.2407,11.2407,11.2111,11.2111,10/26/1989,2960,1989,10,26,43,3,11.2407,0,0,MBT
11.2703,11.2703,11.2703,11.2703,10/27/1989,9472,1989,10,27,43,4,11.2407,0.0296,0.002633288,MBT
11.2703,11.2703,11.2555,11.2555,11/3/1989,11840,1989,11,3,44,4,11.2703,0,0,MBT
11.2703,11.2703,11.2703,11.2703,11/6/1989,17761,1989,11,6,45,0,11.2703,0,0,MBT
11.2703,11.2703,11.2703,11.2703,11/7/1989,5920,1989,11,7,45,1,11.2703,0,0,MBT
11.2703,11.2703,11.2703,11.2703,11/8/1989,17761,1989,11,8,45,2,11.2703,0,0,MBT
11.4479,11.4479,11.2703,11.2998,11/9/1989,52039,1989,11,9,45,3,11.2703,0.1776,0.015758232,MBT
11.5664,11.5664,11.4775,11.4775,11/10/1989,12610,1989,11,10,45,4,11.4479,0.1185,0.010351243,MBT
11.6552,11.6552,11.6552,11.6552,11/13/1989,5979,1989,11,13,46,0,11.5664,0.0888,0.00767741,MBT
11.9217,11.9217,11.8625,11.8625,11/14/1989,2842,1989,11,14,46,1,11.6552,0.2665,0.02286533,MBT
12.0402,12.0698,12.0402,12.0402,11/15/1989,10064,1989,11,15,46,2,11.9217,0.1185,0.009939858,MBT
11.9957,12.0105,11.9809,12.0105,11/16/1989,3967,1989,11,16,46,3,12.0402,-0.0445,-0.003695952,MBT
12.0698,12.1289,12.0698,12.1289,11/17/1989,41382,1989,11,17,46,4,11.9957,0.0741,0.006177214,MBT
12.1585,12.1585,12.1585,12.1585,11/20/1989,592,1989,11,20,47,0,12.0698,0.0887,0.00734892,MBT
12.0993,12.0993,11.4479,11.4479,11/28/1989,5328,1989,11,28,48,1,12.1585,-0.0592,-0.004869022,MBT
11.3295,11.3295,11.3295,11.3295,12/11/1989,14208,1989,12,11,50,0,12.0993,-0.7698,-0.063623515,MBT
11.3295,11.3295,11.3295,11.3295,12/12/1989,24095,1989,12,12,50,1,11.3295,0,0,MBT
11.2998,11.3295,11.2998,11.3295,12/13/1989,59972,1989,12,13,50,2,11.3295,-0.0297,-0.002621475,MBT
11.1518,11.1518,11.1518,11.1518,12/15/1989,1184,1989,12,15,50,4,11.2998,-0.148,-0.013097577,MBT
10.8557,10.8557,10.8557,10.8557,12/18/1989,50322,1989,12,18,51,0,11.1518,-0.2961,-0.026551767,MBT
