c,h,l,o,t,v,y,m,d,w,wd,last,change,pchange,symbol
0.9439,0.9567,0.9343,0.9343,6/15/1994,48096000,1994,6,15,24,2,0.9439,0,0,MEG
0.963,0.9694,0.9503,0.9503,6/16/1994,31590000,1994,6,16,24,3,0.9439,0.0191,0.020235194,MEG
0.9694,0.9694,0.9567,0.963,6/17/1994,23976000,1994,6,17,24,4,0.963,0.0064,0.006645898,MEG
0.9886,0.9886,0.9694,0.9694,6/20/1994,27147600,1994,6,20,25,0,0.9694,0.0192,0.019806066,MEG
0.9822,0.9822,0.963,0.9822,6/21/1994,16272000,1994,6,21,25,1,0.9886,-0.0064,-0.006473801,MEG
0.963,0.9758,0.9567,0.9758,6/22/1994,7149600,1994,6,22,25,2,0.9822,-0.0192,-0.019547954,MEG
0.9694,0.9758,0.9694,0.9694,6/23/1994,9903600,1994,6,23,25,3,0.963,0.0064,0.006645898,MEG
0.9567,0.9694,0.9567,0.9694,6/24/1994,10832400,1994,6,24,25,4,0.9694,-0.0127,-0.013100887,MEG
0.963,0.963,0.9503,0.9567,6/27/1994,18144000,1994,6,27,26,0,0.9567,0.0063,0.006585136,MEG
0.963,0.963,0.9503,0.963,6/28/1994,7048800,1994,6,28,26,1,0.963,0,0,MEG
0.9567,0.9567,0.9503,0.9503,6/29/1994,2008800,1994,6,29,26,2,0.963,-0.0063,-0.006542056,MEG
0.9694,0.9694,0.9503,0.9503,6/30/1994,10785600,1994,6,30,26,3,0.9567,0.0127,0.013274799,MEG
0.9503,0.9567,0.9503,0.9567,7/1/1994,4492800,1994,7,1,26,4,0.9694,-0.0191,-0.019702909,MEG
0.963,0.9758,0.9503,0.9567,7/4/1994,14180400,1994,7,4,27,0,0.9503,0.0127,0.013364201,MEG
0.963,0.9694,0.963,0.963,7/5/1994,6508800,1994,7,5,27,1,0.963,0,0,MEG
0.9694,0.9694,0.9567,0.9567,7/6/1994,2156400,1994,7,6,27,2,0.963,0.0064,0.006645898,MEG
0.9567,0.9694,0.9567,0.963,7/7/1994,2977200,1994,7,7,27,3,0.9694,-0.0127,-0.013100887,MEG
0.963,0.963,0.9567,0.963,7/8/1994,8456400,1994,7,8,27,4,0.9567,0.0063,0.006585136,MEG
0.963,0.963,0.9567,0.9567,7/11/1994,2530800,1994,7,11,28,0,0.963,0,0,MEG
1.0205,1.0205,0.9567,0.9567,7/12/1994,25682400,1994,7,12,28,1,0.963,0.0575,0.059709242,MEG
1.0205,1.0269,1.0077,1.0205,7/13/1994,30585600,1994,7,13,28,2,1.0205,0,0,MEG
