c,h,l,o,t,v,y,m,d,w,wd,last,change,pchange,symbol
5.8333,5.8704,5.7963,5.8333,10/16/1989,1632500,1989,10,16,42,0,5.8333,0,0,RLC
5.9444,6.0185,5.9259,5.9444,10/17/1989,3683500,1989,10,17,42,1,5.8333,0.1111,0.019045823,RLC
5.8519,5.963,5.8519,5.8519,10/18/1989,2202000,1989,10,18,42,2,5.9444,-0.0925,-0.015560864,RLC
5.9074,5.9259,5.8704,5.9074,10/19/1989,1671000,1989,10,19,42,3,5.8519,0.0555,0.009484099,RLC
5.9815,5.9815,5.9074,5.9815,10/20/1989,4151000,1989,10,20,42,4,5.9074,0.0741,0.012543589,RLC
6.0926,6.0926,6.0185,6.0926,10/23/1989,27305000,1989,10,23,43,0,5.9815,0.1111,0.018573936,RLC
6.1481,6.1852,6.1296,6.1481,10/24/1989,3281000,1989,10,24,43,1,6.0926,0.0555,0.009109411,RLC
6.0926,6.1111,6.0741,6.0926,10/25/1989,2031500,1989,10,25,43,2,6.1481,-0.0555,-0.009027179,RLC
6.0741,6.1111,6.037,6.0741,10/26/1989,741500,1989,10,26,43,3,6.0926,-0.0185,-0.00303647,RLC
6.0185,6.037,6,6.0185,10/27/1989,827000,1989,10,27,43,4,6.0741,-0.0556,-0.009153619,RLC
6.037,6.037,6.0185,6.037,10/30/1989,986000,1989,10,30,44,0,6.0185,0.0185,0.003073856,RLC
6.0926,6.0926,6.0556,6.0926,10/31/1989,1195500,1989,10,31,44,1,6.037,0.0556,0.009209872,RLC
6.0926,6.1296,6.0926,6.0926,11/2/1989,1690500,1989,11,2,44,3,6.0926,0,0,RLC
6.0741,6.0926,6.0556,6.0741,11/3/1989,608500,1989,11,3,44,4,6.0926,-0.0185,-0.00303647,RLC
6.0926,6.1111,6.0926,6.0926,11/6/1989,671000,1989,11,6,45,0,6.0741,0.0185,0.003045719,RLC
6.1111,6.1296,6.0926,6.1111,11/7/1989,1286000,1989,11,7,45,1,6.0926,0.0185,0.00303647,RLC
6.1111,6.1111,6.0926,6.1111,11/8/1989,733000,1989,11,8,45,2,6.1111,0,0,RLC
6.0741,6.1111,6.0741,6.0741,11/9/1989,716000,1989,11,9,45,3,6.1111,-0.037,-0.006054556,RLC
6.037,6.0741,6.037,6.037,11/10/1989,306500,1989,11,10,45,4,6.0741,-0.0371,-0.006107901,RLC
6.037,6.0556,6.0185,6.037,11/13/1989,732500,1989,11,13,46,0,6.037,0,0,RLC
6.0556,6.0741,6.037,6.0556,11/14/1989,2116500,1989,11,14,46,1,6.037,0.0186,0.003081,RLC
6.037,6.037,6,6.037,11/15/1989,604500,1989,11,15,46,2,6.0556,-0.0186,-0.003071537,RLC
6.0185,6.0185,5.9815,6.0185,11/16/1989,491500,1989,11,16,46,3,6.037,-0.0185,-0.003064436,RLC
6.0185,6.0185,6,6.0185,11/17/1989,398000,1989,11,17,46,4,6.0185,0,0,RLC
6,6.037,6,6,11/20/1989,340500,1989,11,20,47,0,6.0185,-0.0185,-0.003073856,RLC
5.9444,6,5.9259,5.9444,11/21/1989,41100,1989,11,21,47,1,6,-0.0556,-0.009266667,RLC
5.9074,5.9074,5.8704,5.9074,11/23/1989,746500,1989,11,23,47,3,5.9444,-0.037,-0.006224346,RLC
5.8704,5.8889,5.8704,5.8704,11/24/1989,419000,1989,11,24,47,4,5.9074,-0.037,-0.006263331,RLC
5.8704,5.8704,5.8519,5.8704,11/27/1989,461000,1989,11,27,48,0,5.8704,0,0,RLC
5.8889,5.8889,5.8519,5.8889,11/28/1989,296000,1989,11,28,48,1,5.8704,0.0185,0.003151404,RLC
5.8704,5.9074,5.8704,5.8704,11/29/1989,297000,1989,11,29,48,2,5.8889,-0.0185,-0.003141504,RLC
5.5926,5.6296,5.5185,5.5926,12/11/1989,909000,1989,12,11,50,0,5.8704,-0.2778,-0.047322159,RLC
5.537,5.6481,5.537,5.537,12/12/1989,1843500,1989,12,12,50,1,5.5926,-0.0556,-0.009941709,RLC
5.5,5.5185,5.5,5.5,12/13/1989,1157500,1989,12,13,50,2,5.537,-0.037,-0.006682319,RLC
5.463,5.5,5.4444,5.463,12/14/1989,2000500,1989,12,14,50,3,5.5,-0.037,-0.006727273,RLC
5.3889,5.4444,5.3148,5.3889,12/15/1989,1782000,1989,12,15,50,4,5.463,-0.0741,-0.013563976,RLC
5.3704,5.4074,5.3704,5.3704,12/18/1989,310500,1989,12,18,51,0,5.3889,-0.0185,-0.003432983,RLC
5.3519,5.3704,5.3519,5.3519,12/19/1989,1282000,1989,12,19,51,1,5.3704,-0.0185,-0.003444809,RLC
5.3889,5.3889,5.3704,5.3889,12/20/1989,250500,1989,12,20,51,2,5.3519,0.037,0.006913433,RLC
5.4074,5.4074,5.3889,5.4074,12/21/1989,680500,1989,12,21,51,3,5.3889,0.0185,0.003432983,RLC
5.4444,5.4444,5.4074,5.4444,12/22/1989,370500,1989,12,22,51,4,5.4074,0.037,0.006842475,RLC
5.4444,5.4815,5.4444,5.4444,12/26/1989,375000,1989,12,26,52,1,5.4444,0,0,RLC
5.4259,5.4259,5.4074,5.4259,12/27/1989,518500,1989,12,27,52,2,5.4444,-0.0185,-0.003397987,RLC
5.4074,5.4074,5.4074,5.4074,12/28/1989,287000,1989,12,28,52,3,5.4259,-0.0185,-0.003409573,RLC
5.4074,5.4074,5.3889,5.4074,12/29/1989,99000,1989,12,29,52,4,5.4074,0,0,RLC
5.4074,5.4074,5.4074,5.4074,1/2/1990,174500,1990,1,2,1,1,5.4074,0,0,RLC
5.3889,5.3889,5.3889,5.3889,1/3/1990,81500,1990,1,3,1,2,5.4074,-0.0185,-0.003421238,RLC
5.3333,5.3889,5.3333,5.3333,1/4/1990,867000,1990,1,4,1,3,5.3889,-0.0556,-0.010317504,RLC
5.4259,5.4259,5.3333,5.4259,1/5/1990,660000,1990,1,5,1,4,5.3333,0.0926,0.017362609,RLC
5.3889,5.4259,5.3889,5.3889,1/8/1990,77000,1990,1,8,2,0,5.4259,-0.037,-0.006819145,RLC
5.3704,5.3704,5.3704,5.3704,1/9/1990,2000,1990,1,9,2,1,5.3889,-0.0185,-0.003432983,RLC
5.3519,5.3704,5.3519,5.3519,1/10/1990,144000,1990,1,10,2,2,5.3704,-0.0185,-0.003444809,RLC
5.3333,5.3333,5.3148,5.3333,1/11/1990,308500,1990,1,11,2,3,5.3519,-0.0186,-0.003475401,RLC
5.3333,5.3333,5.2963,5.3333,1/12/1990,591000,1990,1,12,2,4,5.3333,0,0,RLC
5.3148,5.3148,5.2963,5.3148,1/15/1990,914000,1990,1,15,3,0,5.3333,-0.0185,-0.003468772,RLC
5.2963,5.2963,5.2963,5.2963,1/16/1990,230500,1990,1,16,3,1,5.3148,-0.0185,-0.003480846,RLC
5.3148,5.3148,5.2963,5.3148,1/17/1990,898000,1990,1,17,3,2,5.2963,0.0185,0.003493005,RLC
5.2963,5.2963,5.2778,5.2963,1/18/1990,195500,1990,1,18,3,3,5.3148,-0.0185,-0.003480846,RLC
5.3333,5.3519,5.2963,5.3333,1/19/1990,171000,1990,1,19,3,4,5.2963,0.037,0.006986009,RLC
5.3333,5.3333,5.3333,5.3333,1/22/1990,152000,1990,1,22,4,0,5.3333,0,0,RLC
5.3148,5.3148,5.3148,5.3148,1/23/1990,194000,1990,1,23,4,1,5.3333,-0.0185,-0.003468772,RLC
