c,h,l,o,t,v,y,m,d,w,wd,last,change,pchange,symbol
492,500,481.2,500,4/20/2012,6738310,2012,4,20,16,4,492,0,0,GTCAP
492.2,495,490,491,4/23/2012,1104740,2012,4,23,17,0,492,0.2,0.000406504,GTCAP
491.2,492,486.6,491,4/24/2012,682830,2012,4,24,17,1,492.2,-1,-0.002031694,GTCAP
513,516.5,491.8,491.8,4/25/2012,1399920,2012,4,25,17,2,491.2,21.8,0.044381107,GTCAP
508,520,506,515,4/26/2012,413670,2012,4,26,17,3,513,-5,-0.009746589,GTCAP
502.5,510,501,510,4/27/2012,643190,2012,4,27,17,4,508,-5.5,-0.010826772,GTCAP
510,515,510,510,5/2/2012,328120,2012,5,2,18,2,502.5,7.5,0.014925373,GTCAP
500.5,510,494.6,509,5/3/2012,1317560,2012,5,3,18,3,510,-9.5,-0.018627451,GTCAP
511.5,512,501,501,5/4/2012,465260,2012,5,4,18,4,500.5,11,0.021978022,GTCAP
500,510,500,510,5/7/2012,408800,2012,5,7,19,0,511.5,-11.5,-0.022482893,GTCAP
503,506,500,500,5/8/2012,182320,2012,5,8,19,1,500,3,0.006,GTCAP
502,504,500.5,503,5/9/2012,209710,2012,5,9,19,2,503,-1,-0.001988072,GTCAP
493,501,489,500,5/10/2012,382220,2012,5,10,19,3,502,-9,-0.017928287,GTCAP
491,500,490,493,5/11/2012,210990,2012,5,11,19,4,493,-2,-0.004056795,GTCAP
470,490,468.4,490,5/14/2012,210090,2012,5,14,20,0,491,-21,-0.042769857,GTCAP
465.6,470,455.4,470,5/15/2012,769630,2012,5,15,20,1,470,-4.4,-0.009361702,GTCAP
470,480,467,470,5/16/2012,232470,2012,5,16,20,2,465.6,4.4,0.009450172,GTCAP
482,493,470,475,5/17/2012,222770,2012,5,17,20,3,470,12,0.025531915,GTCAP
465,475,463,475,5/18/2012,181160,2012,5,18,20,4,482,-17,-0.03526971,GTCAP
472,478,460.8,462.2,5/21/2012,283660,2012,5,21,21,0,465,7,0.015053763,GTCAP
472.2,490,472.2,480,5/22/2012,139720,2012,5,22,21,1,472,0.2,0.000423729,GTCAP
480,480,476,479,5/23/2012,117010,2012,5,23,21,2,472.2,7.8,0.016518424,GTCAP
479,480,468,468,5/24/2012,52810,2012,5,24,21,3,480,-1,-0.002083333,GTCAP
479,479.8,478,479,5/25/2012,235560,2012,5,25,21,4,479,0,0,GTCAP
483,483,478,480,5/28/2012,68630,2012,5,28,22,0,479,4,0.008350731,GTCAP
498,501,481,483.2,5/29/2012,760220,2012,5,29,22,1,483,15,0.031055901,GTCAP
500,500,495,498,5/30/2012,344940,2012,5,30,22,2,498,2,0.004016064,GTCAP
500,503,482,495,5/31/2012,166840,2012,5,31,22,3,500,0,0,GTCAP
499,499.6,497,498,6/1/2012,148160,2012,6,1,22,4,500,-1,-0.002,GTCAP
476.2,497,476,497,6/4/2012,106130,2012,6,4,23,0,499,-22.8,-0.045691383,GTCAP
477,481,476.4,476.4,6/5/2012,109190,2012,6,5,23,1,476.2,0.8,0.001679966,GTCAP
478,481,477,478,6/6/2012,55660,2012,6,6,23,2,477,1,0.002096436,GTCAP
479,488,478.2,478.2,6/7/2012,213640,2012,6,7,23,3,478,1,0.00209205,GTCAP
481,483,475.2,475.2,6/8/2012,10320,2012,6,8,23,4,479,2,0.004175365,GTCAP
483,483,479,479,6/11/2012,47230,2012,6,11,24,0,481,2,0.004158004,GTCAP
484.2,490,483,483,6/13/2012,41860,2012,6,13,24,2,483,1.2,0.002484472,GTCAP
484,487,484,484,6/14/2012,125230,2012,6,14,24,3,484.2,-0.2,-0.000413052,GTCAP
482,482.6,482,482,6/15/2012,36640,2012,6,15,24,4,484,-2,-0.004132231,GTCAP
496.2,499.6,482.2,482.2,6/18/2012,247570,2012,6,18,25,0,482,14.2,0.029460581,GTCAP
492.2,497,490,497,6/19/2012,11470,2012,6,19,25,1,496.2,-4,-0.008061266,GTCAP
493,493.6,493,493,6/20/2012,146500,2012,6,20,25,2,492.2,0.8,0.001625356,GTCAP
494,495,492,492,6/21/2012,136130,2012,6,21,25,3,493,1,0.002028398,GTCAP
490,495,490,492,6/22/2012,597810,2012,6,22,25,4,494,-4,-0.008097166,GTCAP
489,494,489,494,6/25/2012,7830,2012,6,25,26,0,490,-1,-0.002040816,GTCAP
488,492.8,481.4,481.4,6/26/2012,62510,2012,6,26,26,1,489,-1,-0.00204499,GTCAP
